,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
81,31.0,1.0,,12.0,45.0,17.0,2.7387,4.9113,
82,37.0,1.0,,3.0,32.0,19.6,2.69696,3.57504,
83,35.0,4.0,,16.0,29.0,11.0,1.84382,1.34618,
84,,1.0,4.0,3.0,20.0,5.4,0.3186,0.7614,
85,,1.0,10.0,15.0,45.0,18.8,2.01348,6.44652,
86,,2.0,5.0,4.0,,12.4,3.490848,,
87,,3.0,5.0,17.0,,24.6,1.405398,,
88,,1.0,12.0,12.0,,2.9,0.116116,0.695884,
89,23.0,2.0,0.0,1.0,,27.7,2.043706,,
90,32.0,1.0,3.0,10.0,23.0,6.2,0.052762,,
91,25.0,1.0,1.0,6.0,15.0,11.4,0.37107,,
92,38.0,1.0,5.0,5.0,54.0,10.6,1.499688,,
93,32.0,2.0,0.0,6.0,18.0,5.8,0.296496,,
94,41.0,3.0,2.0,0.0,15.0,26.3,1.960665,1.984335,
95,36.0,1.0,17.0,6.0,54.0,4.4,0.727056,1.648944,
96,42.0,3.0,13.0,0.0,82.0,3.3,1.315116,1.390884,
97,41.0,1.0,14.0,8.0,52.0,7.3,0.926224,2.869776,
98,29.0,2.0,4.0,9.0,19.0,6.3,0.681093,0.515907,
99,38.0,3.0,4.0,6.0,31.0,9.3,1.331946,1.551054,
100,39.0,1.0,22.0,9.0,113.0,2.6,0.987168,1.950832,
101,36.0,1.0,6.0,9.0,26.0,8.3,0.030212,2.127788,
102,33.0,1.0,8.0,7.0,27.0,5.8,0.776736,0.789264,
103,42.0,2.0,21.0,11.0,121.0,3.1,1.365364,2.385636,
104,41.0,2.0,22.0,17.0,75.0,23.6,9.8766,7.8234,
105,40.0,1.0,8.0,17.0,28.0,3.6,0.53424,0.47376,
106,53.0,1.0,9.0,18.0,50.0,11.2,2.016,3.584,
107,28.0,1.0,4.0,7.0,26.0,13.5,1.29519,2.21481,
108,36.0,2.0,12.0,13.0,60.0,7.9,1.72062,3.01938,
109,34.0,2.0,9.0,13.0,45.0,10.1,1.11807,3.42693,
110,45.0,3.0,2.0,5.0,39.0,4.9,0.45864,1.45236,0.0
111,38.0,1.0,6.0,0.0,41.0,8.9,0.266377,3.382623,
112,21.0,3.0,0.0,2.0,24.0,7.7,0.833448,1.014552,
113,42.0,1.0,12.0,11.0,51.0,21.4,2.411994,8.502006,0.0
114,52.0,1.0,16.0,25.0,64.0,8.6,1.865856,3.638144,
115,25.0,2.0,4.0,6.0,33.0,5.2,0.552552,1.163448,0.0
116,34.0,2.0,9.0,9.0,65.0,6.2,2.10769,1.92231,
117,40.0,2.0,15.0,16.0,73.0,3.4,1.032512,1.449488,
118,31.0,2.0,0.0,4.0,27.0,12.8,1.08864,2.36736,
119,25.0,1.0,1.0,0.0,20.0,6.7,0.47168,0.86832,1.0
120,45.0,1.0,12.0,19.0,37.0,9.5,1.34273,2.17227,0.0
121,23.0,1.0,3.0,0.0,19.0,8.4,0.2793,1.3167,
122,34.0,4.0,6.0,3.0,27.0,35.3,1.982448,7.548552,
123,31.0,1.0,2.0,4.0,22.0,12.7,1.092454,1.701546,
124,28.0,1.0,5.0,9.0,22.0,2.8,0.140448,0.475552,
125,41.0,1.0,7.0,11.0,43.0,4.4,0.694364,1.197636,
126,39.0,2.0,7.0,2.0,68.0,13.0,1.0166,7.8234,
127,29.0,2.0,9.0,3.0,36.0,1.4,0.127008,0.376992,0.0
128,21.0,1.0,5.0,1.0,25.0,9.0,0.36675,1.88325,
129,41.0,2.0,19.0,2.0,68.0,5.8,1.506608,2.437392,0.0
130,26.0,4.0,1.0,7.0,27.0,2.9,0.311634,0.471366,
131,33.0,1.0,5.0,10.0,18.0,12.9,0.984528,1.337472,
132,45.0,2.0,18.0,19.0,35.0,17.4,0.5481,5.5419,
133,39.0,1.0,17.0,20.0,60.0,13.7,2.44956,5.77044,0.0
134,24.0,1.0,7.0,2.0,21.0,6.3,0.519939,0.803061,
135,29.0,2.0,6.0,7.0,57.0,2.2,0.452694,0.801306,0.0
136,27.0,2.0,1.0,0.0,23.0,12.4,0.2852,2.5668,0.0
137,40.0,1.0,13.0,2.0,28.0,5.9,0.964768,0.687232,0.0
138,29.0,1.0,8.0,10.0,24.0,6.7,0.469536,1.138464,0.0
139,29.0,2.0,4.0,3.0,37.0,6.6,1.15995,1.28205,
140,24.0,1.0,0.0,2.0,16.0,16.0,1.00864,1.55136,1.0
141,27.0,1.0,9.0,6.0,45.0,17.8,2.85156,5.15844,1.0
142,41.0,3.0,16.0,22.0,135.0,4.4,1.2771,4.6629,
143,31.0,1.0,11.0,8.0,25.0,9.1,0.14105,2.13395,0.0
144,41.0,1.0,16.0,17.0,68.0,5.4,0.447984,3.224016,0.0
145,42.0,2.0,5.0,3.0,41.0,3.4,0.35547,1.03853,
146,28.0,4.0,1.0,3.0,26.0,12.4,0.377208,2.846792,
147,30.0,4.0,2.0,8.0,25.0,10.0,1.77,0.73,
148,30.0,1.0,11.0,1.0,33.0,8.4,0.681912,2.090088,0.0
149,31.0,1.0,8.0,4.0,44.0,8.0,1.72128,1.79872,0.0
150,45.0,2.0,15.0,14.0,51.0,18.1,1.550808,7.680192,0.0
151,43.0,1.0,13.0,23.0,76.0,6.1,2.151104,2.484896,1.0
152,36.0,1.0,4.0,10.0,23.0,16.3,1.327146,2.421854,
153,28.0,1.0,8.0,6.0,30.0,7.2,0.61344,1.54656,0.0
154,27.0,2.0,3.0,5.0,33.0,13.2,1.6335,2.7225,
155,36.0,3.0,13.0,3.0,39.0,19.2,2.800512,4.687488,
156,33.0,1.0,12.0,11.0,32.0,11.3,2.104512,1.511488,
157,54.0,1.0,9.0,2.0,28.0,14.8,1.558144,2.585856,
158,33.0,1.0,9.0,4.0,29.0,13.8,1.348674,2.653326,
159,31.0,1.0,9.0,5.0,26.0,4.5,0.31005,0.85995,
160,21.0,1.0,4.0,0.0,26.0,8.9,1.420796,0.893204,
161,28.0,3.0,5.0,9.0,44.0,8.7,0.773256,3.054744,0.0
162,31.0,2.0,2.0,1.0,26.0,6.8,0.28288,1.48512,
163,32.0,1.0,8.0,6.0,26.0,4.1,0.326196,0.739804,0.0
164,35.0,2.0,1.0,8.0,24.0,12.5,0.591,2.409,
165,40.0,2.0,13.0,11.0,102.0,18.9,6.226794,13.051206,
166,22.0,1.0,4.0,2.0,24.0,15.6,1.636128,2.107872,
167,39.0,1.0,4.0,9.0,38.0,6.5,1.17819,1.29181,
168,41.0,4.0,14.0,3.0,44.0,1.7,0.353056,0.394944,
169,34.0,1.0,16.0,9.0,79.0,4.0,1.73484,1.42516,
170,29.0,1.0,7.0,9.0,22.0,9.7,0.550572,1.583428,
171,31.0,1.0,4.0,10.0,28.0,11.3,0.291088,2.872912,
172,32.0,1.0,1.0,0.0,20.0,4.8,0.31488,0.64512,
173,32.0,1.0,14.0,7.0,73.0,8.8,3.751616,2.672384,
174,33.0,1.0,6.0,14.0,21.0,7.5,0.567,1.008,
175,26.0,1.0,6.0,0.0,22.0,10.3,0.720588,1.545412,
176,21.0,1.0,1.0,1.0,18.0,17.3,0.158814,2.955186,
177,28.0,2.0,7.0,2.0,34.0,7.0,0.35938,2.02062,
178,37.0,1.0,13.0,5.0,24.0,8.9,0.602352,1.533648,
179,33.0,2.0,2.0,14.0,35.0,22.9,2.123975,5.891025,
180,39.0,1.0,12.0,10.0,46.0,5.0,0.5612,1.7388,
181,40.0,2.0,8.0,19.0,57.0,5.6,0.8778,2.3142,
182,45.0,3.0,16.0,21.0,80.0,3.0,0.912,1.488,0.0
183,27.0,1.0,10.0,6.0,34.0,6.5,0.85085,1.35915,
184,28.0,4.0,0.0,7.0,29.0,24.2,1.424654,5.593346,
185,39.0,1.0,13.0,9.0,27.0,8.0,0.96552,1.19448,
186,40.0,1.0,14.0,21.0,43.0,15.0,2.79285,3.65715,
187,27.0,1.0,11.0,8.0,56.0,16.9,4.63736,4.82664,
188,36.0,1.0,1.0,4.0,16.0,9.3,0.433008,1.054992,
189,55.0,1.0,19.0,2.0,78.0,15.6,4.404816,7.763184,
190,27.0,2.0,4.0,3.0,22.0,13.2,1.086096,1.817904,
191,30.0,1.0,1.0,8.0,17.0,11.0,0.74613,1.12387,
192,36.0,1.0,10.0,0.0,28.0,11.2,0.81536,2.32064,
193,31.0,1.0,1.0,6.0,21.0,2.5,0.2772,0.2478,
194,33.0,2.0,13.0,2.0,40.0,7.2,0.18144,2.69856,
195,30.0,1.0,4.0,0.0,33.0,4.2,0.500346,0.885654,
196,24.0,1.0,1.0,0.0,18.0,5.9,0.23895,0.82305,
197,33.0,4.0,9.0,10.0,28.0,4.3,0.376852,0.827148,
198,50.0,1.0,8.0,27.0,47.0,6.9,0.398889,2.844111,
199,31.0,2.0,6.0,6.0,32.0,23.1,3.341184,4.050816,
200,28.0,1.0,3.0,7.0,19.0,4.1,0.260965,0.518035,
201,44.0,3.0,8.0,10.0,88.0,6.1,0.284504,5.083496,1.0
202,48.0,4.0,3.0,23.0,45.0,9.8,0.97461,3.43539,
203,36.0,2.0,0.0,17.0,30.0,9.7,0.32883,2.58117,
204,29.0,3.0,7.0,1.0,63.0,5.5,0.571725,2.893275,
205,40.0,3.0,17.0,11.0,116.0,6.0,2.56128,4.39872,
206,33.0,1.0,7.0,6.0,26.0,6.0,0.54288,1.01712,0.0
207,26.0,2.0,6.0,6.0,30.0,1.0,0.1437,0.1563,0.0
208,36.0,1.0,14.0,11.0,81.0,7.2,1.784592,4.047408,0.0
209,26.0,2.0,6.0,0.0,35.0,1.9,0.085785,0.579215,
210,40.0,3.0,16.0,6.0,116.0,12.1,1.61414,12.42186,
211,44.0,1.0,5.0,3.0,48.0,9.0,1.96992,2.35008,1.0
212,29.0,3.0,1.0,10.0,30.0,4.5,0.27945,1.07055,
213,35.0,3.0,5.0,3.0,37.0,5.4,0.581418,1.416582,1.0
214,34.0,1.0,16.0,3.0,75.0,10.4,3.9546,3.8454,
215,34.0,3.0,12.0,8.0,47.0,6.7,1.300537,1.848463,
216,46.0,1.0,14.0,25.0,35.0,10.2,1.34946,2.22054,0.0
217,41.0,2.0,21.0,22.0,145.0,12.2,3.23727,14.45273,0.0
218,27.0,2.0,7.0,8.0,30.0,4.0,0.4476,0.7524,1.0
219,27.0,4.0,0.0,6.0,70.0,8.0,1.6184,3.9816,1.0
220,28.0,1.0,11.0,6.0,24.0,2.4,0.107136,0.468864,0.0
221,48.0,3.0,0.0,27.0,19.0,10.8,0.849528,1.202472,
222,48.0,3.0,17.0,26.0,113.0,12.0,3.37644,10.18356,0.0
223,29.0,3.0,5.0,6.0,70.0,19.9,3.17604,10.75396,
224,43.0,2.0,9.0,5.0,60.0,20.4,4.0392,8.2008,
225,23.0,1.0,5.0,2.0,17.0,7.9,0.302175,1.040825,0.0
226,29.0,2.0,10.0,8.0,44.0,18.1,3.70326,4.26074,0.0
227,40.0,4.0,5.0,6.0,75.0,1.9,0.884925,0.540075,0.0
228,22.0,2.0,0.0,3.0,20.0,5.6,0.2072,0.9128,0.0
229,23.0,1.0,7.0,3.0,22.0,14.4,0.849024,2.318976,
230,46.0,3.0,9.0,10.0,60.0,15.3,1.6065,7.5735,
231,55.0,1.0,3.0,11.0,40.0,8.0,0.5632,2.6368,1.0
232,38.0,2.0,8.0,16.0,38.0,0.6,0.029412,0.198588,0.0
233,35.0,2.0,5.0,1.0,33.0,2.8,0.103488,0.820512,0.0
234,30.0,1.0,11.0,9.0,27.0,0.9,0.073872,0.169128,
235,24.0,1.0,7.0,0.0,18.0,6.5,0.5265,0.6435,0.0
236,26.0,2.0,4.0,3.0,28.0,9.5,0.2261,2.4339,0.0
237,32.0,2.0,2.0,11.0,15.0,9.1,0.118755,1.246245,
238,37.0,2.0,11.0,4.0,75.0,3.5,0.632625,1.992375,0.0
239,39.0,1.0,6.0,19.0,42.0,19.9,2.540832,5.817168,1.0
240,30.0,2.0,4.0,4.0,21.0,18.3,0.491904,3.351096,0.0
241,30.0,1.0,10.0,11.0,39.0,9.5,2.056275,1.648725,
242,32.0,2.0,7.0,10.0,32.0,4.3,0.43344,0.94256,
243,54.0,3.0,21.0,20.0,118.0,14.4,9.60048,7.39152,
244,27.0,3.0,3.0,4.0,35.0,13.3,1.60132,3.05368,
245,31.0,1.0,12.0,4.0,31.0,23.7,2.05716,5.28984,
246,39.0,1.0,15.0,16.0,39.0,1.8,0.139698,0.562302,0.0
247,31.0,1.0,5.0,3.0,25.0,14.1,1.17735,2.34765,
248,35.0,1.0,15.0,11.0,40.0,18.5,1.2136,6.1864,
249,35.0,2.0,10.0,16.0,98.0,13.3,4.874716,8.159284,
250,46.0,2.0,22.0,17.0,144.0,11.1,3.324672,12.659328,0.0
251,33.0,1.0,13.0,3.0,52.0,21.3,2.71362,8.36238,
252,35.0,2.0,13.0,3.0,105.0,1.9,1.418445,0.576555,
253,35.0,2.0,1.0,1.0,21.0,7.9,0.369957,1.289043,
254,38.0,1.0,5.0,13.0,21.0,9.0,0.44982,1.44018,
255,41.0,1.0,19.0,1.0,96.0,7.8,2.253888,5.234112,
256,38.0,1.0,18.0,19.0,44.0,4.5,0.60588,1.37412,
257,34.0,3.0,2.0,14.0,39.0,13.2,1.142856,4.005144,
258,51.0,3.0,16.0,25.0,82.0,4.4,2.604976,1.003024,
259,34.0,2.0,10.0,2.0,33.0,9.5,0.573705,2.561295,
260,47.0,1.0,15.0,1.0,30.0,24.5,2.21235,5.13765,0.0
261,34.0,2.0,8.0,6.0,78.0,5.4,2.156544,2.055456,
262,27.0,2.0,8.0,7.0,18.0,11.9,0.400554,1.741446,
263,52.0,1.0,9.0,11.0,24.0,19.2,0.801792,3.806208,1.0
264,39.0,1.0,9.0,6.0,35.0,5.0,0.23275,1.51725,
265,33.0,1.0,7.0,0.0,22.0,6.4,0.630784,0.777216,
266,34.0,1.0,0.0,1.0,21.0,7.2,0.187488,1.324512,
267,31.0,3.0,9.0,7.0,59.0,14.6,3.109654,5.504346,1.0
268,28.0,1.0,2.0,9.0,16.0,15.2,0.870656,1.561344,0.0
269,39.0,1.0,19.0,16.0,45.0,3.7,0.91575,0.74925,
270,51.0,2.0,22.0,23.0,120.0,7.6,4.14048,4.97952,0.0
271,22.0,1.0,4.0,1.0,16.0,1.2,,0.10752,
272,27.0,3.0,6.0,4.0,26.0,10.4,,1.773824,
273,32.0,,16.0,10.0,38.0,21.0,,7.28574,
274,28.0,,6.0,7.0,38.0,7.2,,1.961712,
275,27.0,,1.0,0.0,20.0,10.3,,1.68302,
276,26.0,,2.0,6.0,24.0,13.6,,1.687488,
277,32.0,,14.0,0.0,36.0,2.4,,0.590976,
278,30.0,,0.0,11.0,17.0,3.7,,0.18241,
279,39.0,,13.0,1.0,38.0,8.9,,1.484698,
280,31.0,,11.0,6.0,28.0,4.8,0.345408,0.998592,
281,34.0,1.0,15.0,2.0,39.0,24.7,4.373382,5.259618,
282,31.0,1.0,8.0,3.0,41.0,12.6,0.134316,5.031684,
283,29.0,2.0,1.0,7.0,25.0,10.4,0.5694,2.0306,
284,29.0,1.0,9.0,0.0,25.0,13.9,1.0703,2.4047,
285,35.0,2.0,9.0,16.0,30.0,7.6,0.6498,1.6302,
286,29.0,1.0,11.0,7.0,32.0,6.0,0.92736,0.99264,
287,38.0,2.0,2.0,16.0,22.0,22.7,1.208548,3.785452,
288,35.0,1.0,16.0,15.0,36.0,3.4,0.178704,1.045296,
289,29.0,1.0,11.0,5.0,36.0,6.1,0.709308,1.486692,0.0
290,23.0,2.0,3.0,4.0,34.0,4.4,0.2618,1.2342,
291,33.0,4.0,9.0,8.0,32.0,5.5,0.49632,1.26368,
292,51.0,2.0,19.0,25.0,159.0,2.8,1.06848,3.38352,0.0
293,24.0,1.0,4.0,2.0,21.0,2.6,0.099372,0.446628,
294,31.0,1.0,10.0,12.0,49.0,9.8,3.236548,1.565452,1.0
295,45.0,1.0,10.0,14.0,52.0,5.4,0.932256,1.875744,
296,29.0,1.0,3.0,1.0,17.0,9.0,0.46971,1.06029,
297,34.0,1.0,0.0,10.0,20.0,17.1,2.04858,1.37142,
298,25.0,2.0,4.0,5.0,27.0,5.0,0.54945,0.80055,
299,37.0,1.0,20.0,2.0,56.0,1.9,0.54264,0.52136,
300,47.0,1.0,29.0,18.0,129.0,25.3,20.56131,12.07569,
301,43.0,2.0,6.0,24.0,54.0,9.6,0.62208,4.56192,
302,47.0,1.0,22.0,19.0,81.0,5.5,1.50579,2.94921,
303,24.0,1.0,6.0,2.0,21.0,5.2,0.108108,0.983892,
304,27.0,3.0,5.0,1.0,75.0,6.3,2.206575,2.518425,
305,25.0,1.0,9.0,4.0,18.0,1.2,0.06588,0.15012,
306,36.0,3.0,11.0,12.0,44.0,14.7,0.446292,6.021708,
307,39.0,1.0,16.0,20.0,57.0,19.4,1.559178,9.498822,
308,26.0,1.0,10.0,1.0,25.0,7.1,1.3064,0.4686,0.0
309,41.0,1.0,4.0,19.0,25.0,10.1,1.0605,1.4645,
310,39.0,1.0,19.0,15.0,60.0,27.1,9.5934,6.6666,
311,37.0,1.0,18.0,8.0,54.0,12.1,4.593402,1.940598,
312,29.0,1.0,2.0,0.0,14.0,14.4,0.586656,1.429344,
313,42.0,1.0,6.0,9.0,31.0,11.6,1.02486,2.57114,
314,31.0,4.0,1.0,6.0,29.0,11.1,1.065489,2.153511,
315,36.0,1.0,4.0,15.0,17.0,17.3,0.520557,2.420443,
316,39.0,1.0,16.0,4.0,52.0,20.0,4.16,6.24,
317,23.0,4.0,0.0,2.0,23.0,6.7,0.468464,1.072536,
318,39.0,1.0,4.0,15.0,33.0,7.0,0.39732,1.91268,
319,27.0,3.0,4.0,1.0,40.0,3.1,0.28396,0.95604,
320,24.0,1.0,8.0,4.0,24.0,5.0,0.3816,0.8184,
321,27.0,3.0,3.0,4.0,45.0,11.0,0.29205,4.65795,
322,41.0,1.0,16.0,22.0,49.0,1.6,0.4312,0.3528,
323,38.0,1.0,0.0,8.0,23.0,8.1,0.897966,0.965034,1.0
324,40.0,2.0,5.0,12.0,35.0,16.4,1.58424,4.15576,
325,54.0,1.0,25.0,12.0,120.0,26.5,14.5962,17.2038,
326,40.0,1.0,12.0,6.0,89.0,17.4,2.771994,12.714006,
327,40.0,1.0,2.0,4.0,32.0,3.7,0.853664,0.330336,
328,29.0,1.0,1.0,8.0,31.0,8.0,0.15624,2.32376,
329,30.0,1.0,8.0,6.0,23.0,12.0,0.76176,1.99824,
330,29.0,1.0,1.0,1.0,18.0,1.1,0.029898,0.168102,
331,29.0,3.0,3.0,3.0,50.0,2.4,0.2592,0.9408,
332,28.0,4.0,2.0,4.0,41.0,2.5,0.4592,0.5658,
333,28.0,4.0,0.0,5.0,38.0,10.4,0.636272,3.315728,
334,39.0,2.0,16.0,9.0,89.0,14.3,5.001711,7.725289,
335,32.0,1.0,11.0,2.0,53.0,3.3,0.089199,1.659801,
336,36.0,2.0,7.0,16.0,43.0,15.4,2.6488,3.9732,
337,39.0,1.0,20.0,12.0,39.0,8.2,0.773916,2.424084,
338,28.0,3.0,6.0,8.0,47.0,19.8,5.574294,3.731706,
339,28.0,1.0,4.0,2.0,28.0,14.2,0.43736,3.53864,
340,46.0,1.0,6.0,19.0,31.0,12.2,1.98555,1.79645,
341,30.0,2.0,4.0,8.0,15.0,6.5,0.350025,0.624975,
342,39.0,2.0,15.0,19.0,32.0,4.9,0.421792,1.146208,
343,40.0,3.0,5.0,3.0,220.0,16.0,8.1664,27.0336,
344,44.0,2.0,18.0,4.0,74.0,13.4,4.521696,5.394304,
345,30.0,1.0,0.0,8.0,19.0,16.6,0.624492,2.529508,1.0
346,24.0,2.0,3.0,0.0,19.0,4.3,0.358663,0.458337,0.0
347,32.0,1.0,10.0,13.0,32.0,11.3,1.167968,2.448032,0.0
348,29.0,2.0,3.0,8.0,15.0,2.6,0.14664,0.24336,
349,40.0,2.0,2.0,1.0,36.0,3.8,0.277704,1.090296,
350,41.0,2.0,8.0,21.0,43.0,0.7,0.085785,0.215215,
351,22.0,1.0,1.0,3.0,17.0,18.6,0.80631,2.35569,
352,38.0,1.0,10.0,8.0,34.0,1.2,0.036312,0.371688,
353,37.0,2.0,6.0,13.0,62.0,8.5,1.18575,4.08425,
354,41.0,3.0,18.0,6.0,71.0,15.7,6.565583,4.581417,
355,41.0,3.0,7.0,6.0,56.0,14.5,0.37352,7.74648,
356,39.0,1.0,2.0,15.0,22.0,23.1,1.915914,3.166086,
357,24.0,2.0,0.0,2.0,15.0,16.1,0.321195,2.093805,
358,32.0,3.0,9.0,10.0,51.0,23.0,2.68617,9.04383,
359,21.0,3.0,0.0,1.0,26.0,7.7,1.529528,0.472472,
360,29.0,1.0,13.0,7.0,27.0,2.3,0.068931,0.552069,
361,35.0,2.0,14.0,3.0,82.0,0.8,0.468384,0.187616,
362,29.0,1.0,6.0,7.0,21.0,18.1,1.109892,2.691108,
363,41.0,2.0,2.0,22.0,30.0,6.7,0.11256,1.89744,
364,37.0,1.0,0.0,18.0,18.0,12.9,1.583604,0.738396,
365,32.0,2.0,3.0,13.0,47.0,1.9,0.42864,0.46436,
366,36.0,5.0,5.0,12.0,20.0,8.1,0.729,0.891,
367,39.0,2.0,18.0,9.0,44.0,2.1,0.367752,0.556248,
368,36.0,1.0,18.0,9.0,67.0,11.2,5.245296,2.258704,
369,46.0,3.0,22.0,4.0,99.0,2.3,0.826551,1.450449,
370,34.0,1.0,13.0,11.0,51.0,9.6,1.875168,3.020832,
371,27.0,1.0,7.0,4.0,26.0,9.1,0.641186,1.724814,
372,43.0,1.0,8.0,11.0,45.0,3.3,0.67716,0.80784,
373,33.0,1.0,14.0,8.0,72.0,41.3,15.01668,14.71932,
374,39.0,2.0,20.0,17.0,101.0,1.4,0.340774,1.073226,
375,29.0,1.0,1.0,4.0,17.0,2.5,0.13175,0.29325,
